Country,Year,Exchange Rate,Inflation (%)
Japan,1972,303.172499999,4.84351713859905
Japan,1973,271.701666666083,11.6086235489221
Japan,1974,292.08249999925,23.2222458076842
Japan,1975,296.787499999167,11.7312661498708
Japan,1976,296.552499999167,9.37403638606234
Japan,1977,268.509999999333,8.16182689596842
Japan,1978,210.441666666,4.20956601068681
Japan,1979,219.139999999333,3.70185092546269
Japan,1980,226.740833332833,7.77858176555718
Japan,1981,220.53583333275,4.91216291820523
Japan,1982,249.076666665833,2.7410409556314
Japan,1983,237.511666666083,1.89971971348485
Japan,1984,237.522499999333,2.26161369193155
Japan,1985,238.53583333275,2.0322773460849
Japan,1986,168.519833333083,0.595586799453249
Japan,1987,144.6375,0.126176841696583
Japan,1988,128.151666666667,0.678557580457558
Japan,1989,137.964416666667,2.27228962064317
Japan,1990,144.7925,3.0785162869516
Japan,1991,134.706666666667,3.25143848753308
Japan,1992,126.651333333333,1.7602830605927
Japan,1993,111.197785833333,1.24304589707924
Japan,1994,102.207805833333,0.695458057869004
Japan,1995,94.0595791666667,-0.127899045020446
Japan,1996,108.779056666667,0.136600358575909
Japan,1997,120.9908625,1.74780458692133
Japan,1998,130.905300666667,0.661974191385911
Japan,1999,113.906805,-0.341296928327554
Japan,2000,107.765498333333,-0.676578683595175
Japan,2001,121.5289475,-0.740055504162738
Japan,2002,125.388019166667,-0.923494026942321
Japan,2003,115.933464166667,-0.256541816316025
Japan,2004,108.192569166667,-0.00857338820310272
Japan,2005,110.218211666667,-0.282946068764391
Japan,2006,116.299311666667,0.249355116079085
Japan,2007,117.753529166667,0.060039454498669
Japan,2008,103.359493968254,1.3800788616492
Japan,2009,93.5700890870456,-1.35283672951719
Japan,2010,87.779875,-0.728243207517779
Japan,2011,79.8070198321892,-0.27245561610124
Japan,2012,79.7904554170065,-0.0440645104432602
Japan,2013,97.5956582776385,0.335037912184741
Japan,2014,105.944781034025,2.75922671353253
Japan,2015,121.044025684011,0.795279630579839
Japan,2016,108.792900046834,-0.127258844489754
Japan,2017,112.166141081871,0.484199796126385
Japan,2018,110.42317934106,0.989094598021848
Japan,2019,109.009665900863,0.46877615938395
Japan,2020,106.774582262437,-0.024995834027731
Japan,2021,109.754323839417,-0.233352779398264
Japan,2022,131.498140443764,2.49770278172255
Japan,2023,140.49110006234,3.26813365933163
Japan,2024,151.366291302752,2.73853681635241
Kenya,1960,7.14286000614286,1.24378109452731
Kenya,1961,7.14286000614286,2.45700245700254
Kenya,1962,7.14286000614286,3.11750599520378
Kenya,1963,7.14286000614286,0.697674418604589
Kenya,1964,7.14286000614286,-0.0993048669314341
Kenya,1965,7.14286000614286,3.57852882806742
Kenya,1966,7.14286000614286,5.01439539323414
Kenya,1967,7.14286000614286,1.75919579598299
Kenya,1968,7.14286000614286,0.366711570051019
Kenya,1969,7.14286000614286,-0.17150100656233
Kenya,1970,7.14286000614286,2.18852703907439
Kenya,1971,7.1428599977626,3.78020612544907
Kenya,1972,7.142859999,5.83164474311005
Kenya,1973,7.00119166566667,9.28119422332106
